search_name,real_name,nickname,category,dates,place_of_birth,biography_link
Andres Peiro,"Pérez, Andrés", ,Singer,(1 December 1930 - ),Place of birth: Ciudadela (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1674/Andres-Peiro/
Angel Cardenas,"Bartoli, Ángel", ,"Singer, actor and composer",(18 July 1927 - 4 December 2005),Place of birth: Chacabuco (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/987/angel-Cardenas/
Angel Diaz,"Díaz, José Lisandro",Nicknames: El Paya,Singer and composer,(25 April 1928 - 11 December 1998),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/758/angel-Diaz/
Angel Varela,"Vita, Ángel Antonio", ,Singer and lyricist,(9 July 1924 - n/d),Place of birth: , 
Angel Vargas,"Lomio, José Ángel",Nicknames: El ruiseñor de las calles porteñas,"Singer, lyricist and composer",(22 October 1904 - 7 July 1959),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/166/angel-Vargas/
Antonio Buglione,"Buglione, Antonio",Nicknames: Antonio Reyes,"Violinist, composer and singer",(18 May 1899 - 2 March 1978),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/341/Antonio-Buglione/
Antonio Maida,"Maida, Antonio", ,Singer,(15 July 1913 - 23 August 1984),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/961/Antonio-Maida/
Argentino Ledesma,"Ledesma, Corazón Argentino", ,Singer and lyricist,(24 June 1929 - 6 August 2004),Place of birth: Santiago del Estero Argentina,https://www.todotango.com/english/artists/biography/705/Argentino-Ledesma/
Argentino Oliver,, ,Singer,(n/d - n/d),Place of birth: , 
Armando Garrido,"Garrido, Armando", ,Singer,(11 September 1926 - 9 August 2006),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/1411/Armando-Garrido/
Armando Guerrico,"Ambrústolo, Armando", ,Singer,(2 June 1919 - 28 March 2011),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1498/Armando-Guerrico/
