Date,Orquestra,Title,Singer,Style,Composer,Author
1945-07-06,Dir. Emilio Balcarce,Mentira,Alberto CASTILLO,TANGO,Francisco Pracánico,Celedonio Flores
1945-07-06,Dir. Emilio Balcarce,Vestido punzo,Alberto CASTILLO,MILONGA, , 
1945-08-21,Dir. Emilio Balcarce,Mariana (3),Alberto CASTILLO,CANDOMBE,Osvaldo Sosa Cordero,Osvaldo Sosa Cordero
1945-08-21,Dir. Emilio Balcarce,Se pasó tu cuarto de hora,Alberto CASTILLO,TANGO,Rodolfo Sciammarella,Carlos Petit
1945-08-21,Dir. Emilio Balcarce,Yo llevo un tango en el alma,Alberto CASTILLO,TANGO,Osvaldo Sosa Cordero,Osvaldo Sosa Cordero
1945-10-22,Dir. Emilio Balcarce,Corbatita voladora,Alberto CASTILLO,TANGO,Manuel Vidal,Marvil
1945-10-22,Dir. Emilio Balcarce,Silbando,Alberto CASTILLO,TANGO,Sebastián Piana y Cátulo Castillo,José González Castillo
1945-11-20,Dir. Emilio Balcarce,Estirpe brava,Alberto CASTILLO,TANGO, , 
1945-11-20,Dir. Emilio Balcarce,Los cien barrios porteños,Alberto CASTILLO,VALS,Rodolfo Sciammarella,Carlos Petit
1946-02-22,Dir. Enrique Alessio,Barrio pobre,Alberto CASTILLO,TANGO,Vicente Belvedere,Francisco García Jiménez
1946-03-27,Dir. Enrique Alessio,Juan copete,Alberto CASTILLO,TANGO, , 
1946-04-10,Dir. Enrique Alessio,Que te digan los muchachos,Alberto CASTILLO,TANGO, , 
1946-04-18,Dir. Enrique Alessio,Bronce,Alberto CASTILLO,MILONGA, , 
1946-05-06,Dir. Enrique Alessio,Alma de bohemio,Alberto CASTILLO,TANGO,Roberto Firpo,Juan Andrés Caruso
1946-05-23,Dir. Enrique Alessio,El pibe te llama,Alberto CASTILLO,TANGO, , 
1946-05-23,Dir. Enrique Alessio,Soy porteño y soy varon,Alberto CASTILLO,TANGO, , 
1946-07-11,Dir. Enrique Alessio,Asi se baila el tango,Alberto CASTILLO,TANGO,Elías Randal,Marvil
