Date,Orquestra,Title,Singer,Style,Composer,Author
1961-05-26,Osvaldo FRESEDO,Enamorado estoy,Hugo Marcel,TANGO,José Márquez,Oscar Fresedo
1961-05-26,Osvaldo FRESEDO,Tango mio,Carlos Barrios,TANGO,Osvaldo Fresedo,Emilio Fresedo
1961-05-26,Osvaldo FRESEDO,Unica,Hugo Marcel,TANGO,Roberto Pérez Prechi,Eugenio Majul
1961-06-01,Osvaldo FRESEDO,El día que me quieras, ,TANGO,Carlos Gardel,Alfredo Le Pera
1961-06-01,Osvaldo FRESEDO,La canción,Hugo Marcel,TANGO,Juan de Dios Filiberto,Lito Bayardo
1961-06-01,Osvaldo FRESEDO,Rosarina linda,Ricardo Ruiz,TANGO,Osvaldo Fresedo,Emilio Fresedo
1961-06-01,Osvaldo FRESEDO,Sobre el pucho (Un callejón en Pompeya),Oscar luna,TANGO,Sebastián Piana,José González Castillo
1961-06-07,Osvaldo FRESEDO,El flaco Abel,Oscar Luna,TANGO,Roberto Pansera,Eduardo Parula
1961-06-07,Osvaldo FRESEDO,Si de mi te has olvidado,Hugo Marcel,TANGO,Osvaldo Fresedo,José María Contursi
1961-06-15,Osvaldo FRESEDO,Capicua, ,MILONGA, , 
1961-06-15,Osvaldo FRESEDO,Sueño azul, ,TANGO,Tibor Barczi,Tibor Barczi
1961-07-05,Osvaldo FRESEDO,Bahia blanca, ,TANGO,Carlos Di Sarli, 
1961-07-05,Osvaldo FRESEDO,Todo corazón, ,TANGO,Julio De Caro,José María Ruffet
1961-09-03,Osvaldo FRESEDO,Naipe marcado,Carlos Barrios,TANGO,Ángel Greco,Ángel Greco
1961-09-03,Osvaldo FRESEDO,Tal vez mañana,Hugo Marcel,TANGO, , 
1961-09-14,Osvaldo FRESEDO,Milonguita (Esthercita),Hugo Marcel,TANGO,Enrique Delfino,Samuel Linnig
1961-09-14,Osvaldo FRESEDO,Perro e Sulky,Carlos Barrios,TANGO, , 
1961-09-14,Osvaldo FRESEDO,Volveras, ,TANGO,Osvaldo Fresedo,Emilio Fresedo
1962-09-18,Osvaldo FRESEDO,Mi verdad (2),Roberto Bayot,TANGO, , 
1962-09-18,Osvaldo FRESEDO,Siempre dos,Roberto Bayot,TANGO, , 
1962-11-04,Osvaldo FRESEDO,Enamorado estoy,Hugo Marcel,TANGO,José Márquez,Oscar Fresedo
1962-11-04,Osvaldo FRESEDO,La viruta, ,TANGO,Vicente Greco, 
1962-11-04,Osvaldo FRESEDO,Unica,Hugo Marcel,TANGO,Roberto Pérez Prechi,Eugenio Majul
1963-04-15,Osvaldo FRESEDO,Tanconeando, ,TANGO, , 
1963-04-15,Osvaldo FRESEDO,Viajando, ,TANGO, , 
1963-05-02,Osvaldo FRESEDO,Migaja,Carlos Barrios,TANGO, , 
1963-05-02,Osvaldo FRESEDO,Qué noche, ,TANGO,Agustín Bardi, 
1963-05-22,Osvaldo FRESEDO,Golondrinas, ,TANGO,Carlos Gardel,Alfredo Le Pera
1963-05-22,Osvaldo FRESEDO,Soledad, ,TANGO,Carlos Gardel,Alfredo Le Pera
1963-06-17,Osvaldo FRESEDO,Cuesta abajo, ,TANGO,Carlos Gardel,Alfredo Le Pera
1963-06-17,Osvaldo FRESEDO,Entrelazados, ,TANGO, , 
1966-01-01,Osvaldo FRESEDO,Viejo Buenos Aires,Osvaldo Arana,TANGO,Mariano Mores,Martín Darré
1966-04-15,Osvaldo FRESEDO,Amar hasta morir,Roberto Yanés,TANGO,Nino Fassa,Jorge Burbridge
1966-04-15,Osvaldo FRESEDO,El flete, ,TANGO,Vicente Greco,Pascual Contursi
1966-04-15,Osvaldo FRESEDO,Mi Buenos Aires querido, ,TANGO,Carlos Gardel,Alfredo Le Pera
1966-04-26,Osvaldo FRESEDO,Tengo,Roberto Yanés,TANGO,Roberto Pérez Prechi,Eugenio Majul
1966-04-26,Osvaldo FRESEDO,Viejo Buenos Aires,Oscar Luna,TANGO,Mariano Mores,Martín Darré
1966-06-24,Osvaldo FRESEDO,La sanata, ,MILONGA, , 
1966-06-24,Osvaldo FRESEDO,Tengo,Roberto Yanés,TANGO,Roberto Pérez Prechi,Eugenio Majul
1966-10-14,Osvaldo FRESEDO,Bandoneon amigo,Roberto Yanés,TANGO,Osvaldo Fresedo,Homero Manzi
1966-10-14,Osvaldo FRESEDO,Barrio pobre,Roberto Yanés,TANGO,Vicente Belvedere,Francisco García Jiménez
1968-01-01,Osvaldo FRESEDO,Amo a mis padres,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,Es amor prohibido,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,Fiesta santa,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,Frente a dios,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,Huyendo del pecado,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,Juro por dios,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,La creacion,Jorge Ruanova,TANGO, , 
1968-01-01,Osvaldo FRESEDO,No codicio lo ajeno,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,No mataré,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,No robaras,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,Odio la mentira,Daniel Riolobos,TANGO, , 
1968-01-01,Osvaldo FRESEDO,Sobre el pucho (Un callejón en Pompeya),Osvaldo Arana,TANGO,Sebastián Piana,José González Castillo
1968-01-01,Osvaldo FRESEDO,Una canción de fe,Daniel Riolobos,TANGO y VALS,Osvaldo Fresedo y Roberto Pansera y Roberto Lambertucci,Osvaldo Fresedo y Roberto Pansera y Roberto Lambertucci
1969-01-01,Osvaldo FRESEDO,Amar hasta morir,Osvaldo Arana,TANGO,Nino Fassa,Jorge Burbridge
1969-01-01,Osvaldo FRESEDO,Sobre el pucho (Un callejón en Pompeya),Osvaldo Arana,TANGO,Sebastián Piana,José González Castillo
1969-01-01,Osvaldo FRESEDO,Tengo,Osvaldo Arana,TANGO,Roberto Pérez Prechi,Eugenio Majul
1979-10-30,Osvaldo FRESEDO,El once (A divertirse), ,TANGO,Osvaldo Fresedo,Emilio Fresedo
1979-10-30,Osvaldo FRESEDO,La cumparsita, ,TANGO,Gerardo Matos Rodriguez,Gerardo Matos Rodriguez
1979-10-30,Osvaldo FRESEDO,Ojos negros, ,TANGO,Vicente Greco,Pedro Numa Cordoba
1979-10-30,Osvaldo FRESEDO,Por qué, ,TANGO,Osvaldo Fresedo,Emilio Fresedo
1979-10-31,Osvaldo FRESEDO,El entrerriano, ,TANGO,Rosendo Mendizabal,Homero Exposito
1979-10-31,Osvaldo FRESEDO,La cachila, ,TANGO,Eduardo Arolas,Héctor Polito
1979-11-06,Osvaldo FRESEDO,El espiante, ,TANGO,Osvaldo Fresedo, 
1979-11-06,Osvaldo FRESEDO,El pibe de la paternal, ,TANGO, , 
1979-11-06,Osvaldo FRESEDO,La viruta, ,TANGO,Vicente Greco, 
1979-11-06,Osvaldo FRESEDO,Mi refugio, ,TANGO,Juan Carlos Cobián,Pedro Numa Córdoba
1980-06-27,Osvaldo FRESEDO,El marne, ,TANGO,Eduardo Arolas, 
1980-06-27,Osvaldo FRESEDO,Flores negras, ,TANGO,Francisco De Caro,Mario César Gomila
1980-06-27,Osvaldo FRESEDO,Maipo, ,TANGO,Eduardo Arolas,Gabriel Clausi
1980-06-27,Osvaldo FRESEDO,Melodia simple, ,TANGO, , 
1980-06-27,Osvaldo FRESEDO,Mimí Pinsón (Mimí Pinzón),Hugo Garcia,TANGO,Aquiles Roggero,José Rótulo
1980-06-27,Osvaldo FRESEDO,Un retrato de Anibal, ,TANGO, , 
1980-07-04,Osvaldo FRESEDO,A media luz,Argentino Ledesma,TANGO,Edgardo Donato,Carlos Lenzi
1980-07-04,Osvaldo FRESEDO,Bien mistonga, ,MELODIA SIMPLE, , 
1980-07-04,Osvaldo FRESEDO,Mi viejo reloj, ,TANGO,Osvaldo Fresedo, 
1980-07-04,Osvaldo FRESEDO,Yo soy,Argentino Ledesma,TANGO, , 
1958-12-18,Osvaldo MANZI,Dolor milonguero,Fontan Reyes,TANGO,Juan Carlos Cobián,Enrique Cadícamo
1958-12-18,Osvaldo MANZI,Febril, ,TANGO, , 
2016-10-01,Osvaldo PEREDO,Canción del adiós,Dir. Hugo Hoffmann y Lucas Furno,CANCION,Horacio Guarany,Horacio Guarany
2016-10-01,Osvaldo PEREDO,Eu sei que vou te amar,Dir. Hugo Hoffmann y Lucas Furno,CANCION, , 
2016-10-01,Osvaldo PEREDO,La noche que te fuiste,Dir. Hugo Hoffmann y Lucas Furno,CANCION,Osmar Maderna,José María Contursi
2016-10-01,Osvaldo PEREDO,Pan,Dir. Hugo Hoffmann y Lucas Furno,CANCION,Eduardo Pereyra,Celedonio Flores
2016-10-01,Osvaldo PEREDO,Sin lágrimas,Dir. Hugo Hoffmann y Lucas Furno,CANCION,Charlo,José María Contursi
2016-10-01,Osvaldo PEREDO,Vete de mi,Dir. Hugo Hoffmann y Lucas Furno,CANCION, , 
2016-10-01,Osvaldo PEREDO,Volver en guitarra,Dir. Hugo Hoffmann y Lucas Furno,CANCION, , 
2016-10-01,Osvaldo PEREDO,Yo vengo a ofrecer mi corazón,Dir. Hugo Hoffmann y Lucas Furno,CANCION,Fito Paez,Fito Paez
1943-07-15,Osvaldo PUGLIESE,El rodeo, ,TANGO,Agustín Bardi, 
1943-07-15,Osvaldo PUGLIESE,Farol,Roberto Chanel,TANGO,Virgilio Expósito,Homero Expósito
1943-08-27,Osvaldo PUGLIESE,Mala junta, ,TANGO,Julio De Caro y Pedro Laurenz,Juan Velich
1943-08-27,Osvaldo PUGLIESE,Muchachos comienza la ronda,Roberto Chanel,TANGO,Luis Porcell,Leopoldo Díaz Vélez
1943-10-21,Osvaldo PUGLIESE,Milonga de mi tierra,Jorge Rubino,MILONGA,Alberto Pugliese,José Sassone
1943-10-21,Osvaldo PUGLIESE,Qué bien te queda (Cómo has cambiado),Roberto Chanel,TANGO,Vicente Salerno,Juan Mazaroni
1944-03-31,Osvaldo PUGLIESE,Recuerdo, ,TANGO,Osvaldo Pugliese,Eduardo Moreno
1944-03-31,Osvaldo PUGLIESE,Silbar de boyero,Roberto Chanel,TANGO,David Barberis,José Barreiros Bazán
1944-06-01,Osvaldo PUGLIESE,El remate, ,TANGO,Alberto Pugliese, 
1944-06-01,Osvaldo PUGLIESE,Tortazos,Roberto Chanel,MILONGA,José Razzano,Enrique Pedro Maroni
1944-07-06,Osvaldo PUGLIESE,El día de tu ausencia,Roberto Chanel,TANGO,Argentino Galván,Manuel Arcos
1944-07-06,Osvaldo PUGLIESE,Tierra querida, ,TANGO,Julio De Caro,Luis Diaz
1944-07-20,Osvaldo PUGLIESE,La abandoné y no sabía,Roberto Chanel,TANGO,José Canet,José Canet
1944-07-20,Osvaldo PUGLIESE,Tu casa ya no está,Roberto Chanel,VALS,Virgilio Expósito,Homero Expósito
1944-08-22,Osvaldo PUGLIESE,El arranque, ,TANGO,Julio De Caro,Mario César Gomila
1944-08-22,Osvaldo PUGLIESE,El Tango es una historia,Roberto Chanel,TANGO,Roberto Chanel,Reinaldo Yiso
1944-10-17,Osvaldo PUGLIESE,Adiós Bardi, ,TANGO,Osvaldo Pugliese, 
1944-10-17,Osvaldo PUGLIESE,Corrientes y Esmeralda,Roberto Chanel,TANGO,Francisco Pracánico,Celedonio Flores
1944-11-24,Osvaldo PUGLIESE,Amurado, ,TANGO,Pedro Maffia y Pedro Laurenz,José De Grandis
1944-11-24,Osvaldo PUGLIESE,Nada más que un corazón,Roberto Chanel,TANGO,Manuel Sucher,Carlos Bahr
1944-12-21,Osvaldo PUGLIESE,Mala pinta (Mala estampa), ,TANGO,Francisco De Caro y Julio De Caro, 
1944-12-21,Osvaldo PUGLIESE,Puentecito de mi río,Roberto Chanel,VALS,Antonio Tormo  y Manuel Canales,Buenaventura Luna
1945-01-25,Osvaldo PUGLIESE,Raza Criolla (El Taita), ,TANGO,Salvador Grupillo, 
1945-01-25,Osvaldo PUGLIESE,Yuyo Verde,Alberto Moran,TANGO,Domingo Federico,Homero Expósito
1945-03-20,Osvaldo PUGLIESE,El paladín, ,TANGO,Agustín Bardi, 
1945-03-22,Osvaldo PUGLIESE,El sueño del pibe,Roberto Chanel,TANGO,Juan Puey,Reinaldo Yiso
1945-05-28,Osvaldo PUGLIESE,Derecho viejo, ,TANGO,Eduardo Arolas,Gabriel Clausi
1945-05-28,Osvaldo PUGLIESE,Maleza,Alberto Moran,TANGO,Enrique Munné,Cátulo Castillo
1945-06-12,Osvaldo PUGLIESE,El monito, ,TANGO,Julio De Caro,Juan Carlos Marambio Catán
1945-06-12,Osvaldo PUGLIESE,Pelele, ,TANGO,Pedro Maffia, 
1945-07-18,Osvaldo PUGLIESE,Rondando tu esquina,Roberto Chanel,TANGO,Charlo,Enrique Cadícamo
1945-07-24,Osvaldo PUGLIESE,El abrojito,Alberto Moran,TANGO,Luis Bernstein,Jesús Fernández Blanco
1945-08-28,Osvaldo PUGLIESE,Flor de tango, ,TANGO,Julio Carrasco, 
1945-08-28,Osvaldo PUGLIESE,Por qué,Roberto Chanel y Alberto Moran,TANGO,Osvaldo Fresedo,Emilio Fresedo
1945-09-24,Osvaldo PUGLIESE,La cachila, ,TANGO,Eduardo Arolas,Héctor Polito
1945-09-24,Osvaldo PUGLIESE,Mentira,Alberto Moran,TANGO,Francisco Pracánico,Celedonio Flores
1945-11-06,Osvaldo PUGLIESE,Galleguita,Roberto Chanel,TANGO,Horacio Pettorossi,Alfredo Navarrine
1945-11-06,Osvaldo PUGLIESE,Las marionetas, ,TANGO,Osvaldo Pugliese, 
1945-12-03,Osvaldo PUGLIESE,Dandy,Roberto Chanel,TANGO,Lucio Demare,Agustín Irusta y Roberto Fugazot
1945-12-03,Osvaldo PUGLIESE,Por qué no has venido,Alberto Moran,TANGO,Pedro Maffia,Julio Navarrine
1945-12-18,Osvaldo PUGLIESE,Hoy al recordarla,Alberto Moran,TANGO,José Canet,José Canet
1945-12-18,Osvaldo PUGLIESE,Tiny, ,TANGO,Pedro Maffia y Julio De Caro, 
1946-02-27,Osvaldo PUGLIESE,Consejo de oro,Roberto Chanel,TANGO,Arquímedes Arci,Arquímedes Arci
1946-02-27,Osvaldo PUGLIESE,Demasiado tarde,Alberto Moran,TANGO,Francisco Troppoli,Agustín Horacio Delamónica
1946-03-28,Osvaldo PUGLIESE,Fuimos,Roberto Chanel,TANGO,José Dames,Homero Manzi
1946-03-28,Osvaldo PUGLIESE,Príncipe,Alberto Moran,TANGO,Anselmo Aieta y Rafael Tuegols,Francisco García Jiménez
1946-05-27,Osvaldo PUGLIESE,Dos ojos tristes,Alberto Moran,TANGO,Oscar de la Fuente,Luis Rubistein
1946-05-27,Osvaldo PUGLIESE,Sin lágrimas,Roberto Chanel,TANGO,Charlo,José María Contursi
1946-06-13,Osvaldo PUGLIESE,El tábano, ,TANGO,Armando Baliotti y César Ginzo, 
1946-06-21,Osvaldo PUGLIESE,Vayan saliendo, ,TANGO,Víctor Donato,Juan Velich
1946-07-31,Osvaldo PUGLIESE,No me escribas,Alberto Moran,TANGO,Agustín Bardi,Juan Andrés Caruso
1946-07-31,Osvaldo PUGLIESE,Tiempo,Roberto Chanel,TANGO,Osvaldo Ruggiero,Francisco García Jiménez
1946-08-21,Osvaldo PUGLIESE,La yumba, ,TANGO,Osvaldo Pugliese, 
1946-08-21,Osvaldo PUGLIESE,Mal de amores, ,TANGO,Pedro Laurenz,Lito Bayardo
1946-11-08,Osvaldo PUGLIESE,La mascota del barrio,Roberto Chanel,TANGO,Abel Aznar,Reinaldo Yiso
1946-11-08,Osvaldo PUGLIESE,Una vez,Alberto Moran,TANGO,Osvaldo Pugliese,Cátulo Castillo
1946-12-20,Osvaldo PUGLIESE,Mirando la lluvia,Roberto Chanel y Alberto Moran,TANGO,Adolfo Avilés,Leopoldo Torre Ríos
1947-01-02,Osvaldo PUGLIESE,Sin palabras,Alberto Moran,TANGO,Mariano Mores,Enrique Santos Discepolo
1947-01-28,Osvaldo PUGLIESE,Ilusión marina,Alberto Moran,VALS,Antonio Sureda,Gerónimo Sureda
1947-01-28,Osvaldo PUGLIESE,Ojos maulas,Roberto Chanel,TANGO,Luis Bernstein,Alfredo Faustino Roldán
1947-03-27,Osvaldo PUGLIESE,Cafetin,Alberto Moran,TANGO,Argentino Galván,Homero Expósito
1947-03-27,Osvaldo PUGLIESE,Yo te bendigo,Roberto Chanel,TANGO,Juan de Dios Filiberto,Juan Andrés Bruno
1947-04-28,Osvaldo PUGLIESE,Desilusión,Alberto Moran,TANGO,Lito Bayardo,Lito Bayardo
1947-04-28,Osvaldo PUGLIESE,N.N., ,TANGO,Osvaldo Ruggiero, 
1947-06-10,Osvaldo PUGLIESE,Amiga,Roberto Chanel,TANGO,Carlos Viván,Horacio Sanguinetti
1947-06-10,Osvaldo PUGLIESE,Escúchame Manón (Indiferencia),Roberto Chanel,TANGO,Francisco Pracánico,Claudio Frollo y Roberto Chanel
1947-08-19,Osvaldo PUGLIESE,En secreto,Alberto Moran,TANGO,Vicente Demarco,Alfredo Faustino Roldán
1947-08-19,Osvaldo PUGLIESE,Jueves, ,TANGO,Udelino Toranzo y Rafael Rossi, 
1947-10-14,Osvaldo PUGLIESE,Cabecitas blancas,Roberto Chanel,TANGO,Alberto Pugliese,Enrique Dizeo
1947-10-14,Osvaldo PUGLIESE,El mareo,Roberto Chanel y Alberto Moran ,TANGO,Julio De Caro,Mario César Gomila
1947-12-01,Osvaldo PUGLIESE,Andá que te cure Lola,Roberto Chanel,MILONGA,Luis Caruso,Luis Caruso
1947-12-01,Osvaldo PUGLIESE,El buscapié, ,TANGO,José Dames, 
1947-12-16,Osvaldo PUGLIESE,Bolero,Roberto Chanel,TANGO,Santos Lipesker,Reinaldo Yiso
1947-12-16,Osvaldo PUGLIESE,Entrada prohibida, ,TANGO,Luis Teisseire,Germán Teisseire
1948-04-06,Osvaldo PUGLIESE,Dejame en paz,Alberto Moran,TANGO,Américo Actis,Oscar Rubens
1948-04-06,Osvaldo PUGLIESE,Patético, ,TANGO,Jorge Caldara, 
1948-06-24,Osvaldo PUGLIESE,Negracha, ,TANGO,Osvaldo Pugliese, 
1948-07-14,Osvaldo PUGLIESE,Boedo, ,TANGO,Julio De Caro,Dante A. Linyera
1948-09-13,Osvaldo PUGLIESE,Punto y coma, ,TANGO,José Martínez, 
1948-09-15,Osvaldo PUGLIESE,Dos que se aman,Alberto Moran,VALS,Antonio Tormo,Manuel María Flores
1949-05-04,Osvaldo PUGLIESE,Chuzas (2), ,TANGO,Agustín Bardi, 
1949-05-04,Osvaldo PUGLIESE,Frente a una copa,Alberto Moran,TANGO,Francisco Amor,Elías Wainer
1949-05-31,Osvaldo PUGLIESE,Malandraca, ,TANGO,Osvaldo Pugliese, 
1949-05-31,Osvaldo PUGLIESE,Y volvemos a querernos,Alberto Moran,TANGO,Luciano Leocata,Abel Aznar
1949-08-22,Osvaldo PUGLIESE,Pinta Brava, ,TANGO,Francisco Canaro, 
1949-08-22,Osvaldo PUGLIESE,Puente Alsina,Jorge Vidal,TANGO,Benjamín Tagle Lara,Benjamín Tagle Lara
1949-09-27,Osvaldo PUGLIESE,Bien compadre, ,TANGO,Emilio Balcarce, 
1949-09-27,Osvaldo PUGLIESE,La cieguita,Jorge Vidal,TANGO,Keppler Lais (Patricio Muñoz Aceña),Ramuncho (Ramón Bertrán Reyna)
1949-10-25,Osvaldo PUGLIESE,Descorazonado,Alberto Moran,TANGO,Oscar Herrero,Marvil
1949-11-28,Osvaldo PUGLIESE,Canaro en Paris, ,TANGO,Juan Caldarella y Alejandro Scarpino,José Scarpino
1949-12-07,Osvaldo PUGLIESE,Catuzo, ,TANGO,Osvaldo Ruggiero, 
1949-12-07,Osvaldo PUGLIESE,Testamento de arrabal,Jorge Vidal,TANGO,Oscar Castagniaro,Raúl Hormaza
1950-03-07,Osvaldo PUGLIESE,Quiero verte una vez más,Alberto Moran,TANGO,Mario Canaro,José María Contursi
1950-03-07,Osvaldo PUGLIESE,Ventanita de arrabal,Jorge Vidal,TANGO,Antonio Scatasso,Pascual Contursi
1950-03-29,Osvaldo PUGLIESE,De floreo, ,TANGO,Julio Carrasco, 
1950-03-29,Osvaldo PUGLIESE,Hacelo por la vieja,Alberto Moran,TANGO,Rodolfo Sciammarella,Carlos Viván y Héctor Bonatti
1950-05-03,Osvaldo PUGLIESE,Pastoral, ,TANGO,Juan Caldarella, 
1950-05-03,Osvaldo PUGLIESE,Vieja recova,Jorge Vidal,TANGO,Rodolfo Sciammarella,Enrique Cadícamo
1950-06-30,Osvaldo PUGLIESE,Cadenas,Alberto Moran,TANGO,Luis Rubistein,Luis Rubistein
1950-06-30,Osvaldo PUGLIESE,Por qué canto el tango,Jorge Vidal,TANGO,Oscar Castagniaro,Antonio Cantó
1950-07-26,Osvaldo PUGLIESE,Don Aniceto, ,TANGO,Esteban Gilardi, 
1950-07-26,Osvaldo PUGLIESE,Y mientes todavía,Alberto Moran,TANGO,Luciano Leocata,Abel Aznar
1950-10-24,Osvaldo PUGLIESE,Cobardia,Alberto Moran,TANGO,Charlo,Luis César Amadori
1950-10-24,Osvaldo PUGLIESE,El tobiano, ,TANGO,Emilio Balcarce, 
1950-11-16,Osvaldo PUGLIESE,Barra querida,Jorge Vidal,TANGO,Carlos Sánchez,César Vedani
1950-11-16,Osvaldo PUGLIESE,Un baile a beneficio,Jorge Vidal,MILONGA,Juan Carlos Caccaviello,José Alfredo Fernández
1950-11-24,Osvaldo PUGLIESE,Llamame,Alberto Moran,TANGO,Ángel Domínguez,José Rótulo
1950-11-24,Osvaldo PUGLIESE,Llevátelo todo,Alberto Moran,TANGO,Rodolfo Sciammarella,Rodolfo Sciammarella
1951-05-22,Osvaldo PUGLIESE,Barro,Alberto Moran,TANGO,Osvaldo Pugliese,Horacio Sanguinetti
1951-05-22,Osvaldo PUGLIESE,De vuelta al bulin,Alberto Moran,TANGO,José Martinez,Pascual Contursi
1951-06-27,Osvaldo PUGLIESE,Don Atilio, ,TANGO,Osvaldo Pugliese, 
1951-06-27,Osvaldo PUGLIESE,El mate amargo,Alberto Moran,TANGO,Oscar Herrero,Marvil
1951-07-31,Osvaldo PUGLIESE,Bien milonga, ,TANGO,Ismael Spitalnik, 
1951-07-31,Osvaldo PUGLIESE,Pasional,Alberto Moran,TANGO,Jorge Caldara,Mario Soto
1951-10-02,Osvaldo PUGLIESE,El cielo en las manos,Alberto Moran,TANGO,Astor Piazzolla,Homero Cárpena
1951-10-02,Osvaldo PUGLIESE,El refrán, ,TANGO,Roberto Peppe, 
1951-12-06,Osvaldo PUGLIESE,Que nunca me falte,Alberto Moran,TANGO,Héctor Morales,Héctor Marcó
1951-12-10,Osvaldo PUGLIESE,Olivero, ,TANGO,José Martínez y Antonio Buglione, 
1952-01-28,Osvaldo PUGLIESE,Cualquier cosa,Alberto Moran,TANGO,Herminia Velich y Juan Velich,Herminia Velich y Juan Velich
1952-01-28,Osvaldo PUGLIESE,La noche que me esperes,Alberto Moran,VALS,Juan Canaro,Juan Canaro
1952-05-06,Osvaldo PUGLIESE,Entrador, ,TANGO,Mario Demarco, 
1952-05-06,Osvaldo PUGLIESE,Para dos, ,TANGO,Osvaldo Ruggiero, 
1952-06-27,Osvaldo PUGLIESE,Ahora no me conocés,Alberto Moran,TANGO,Armando Baliotti,Carlos Giampetruzzi
1952-06-27,Osvaldo PUGLIESE,La tupungatina, ,TANGO,Cristino Tapia,Cristino Tapia
1952-10-09,Osvaldo PUGLIESE,Por pecadora,Alberto Moran,TANGO,Juan Caldarella,Mario Soto
1952-10-09,Osvaldo PUGLIESE,Si sos brujo, ,TANGO,Emilio Balcarce, 
1952-11-13,Osvaldo PUGLIESE,El embrollo, ,TANGO,Esteban Gilardi, 
1952-11-13,Osvaldo PUGLIESE,La tupungatina, ,TANGO,Cristino Tapia,Cristino Tapia
1952-11-13,Osvaldo PUGLIESE,La yumba, ,TANGO,Osvaldo Pugliese, 
1952-11-13,Osvaldo PUGLIESE,N.N., ,TANGO,Osvaldo Ruggiero, 
1952-11-18,Osvaldo PUGLIESE,Manos adoradas,Alberto Moran,VALS,Roberto Rufino,Horacio Sanguinetti
1952-11-24,Osvaldo PUGLIESE,La cachila, ,TANGO,Eduardo Arolas,Héctor Polito
1952-11-24,Osvaldo PUGLIESE,Pasional,Alberto Moran,TANGO,Jorge Caldara,Mario Soto
1952-11-29,Osvaldo PUGLIESE,Mala junta, ,TANGO,Julio De Caro y Pedro Laurenz,Juan Velich
1952-12-03,Osvaldo PUGLIESE,Barro,Alberto Moran,TANGO,Osvaldo Pugliese,Horacio Sanguinetti
1952-12-03,Osvaldo PUGLIESE,La noche que me esperes,Alberto Moran,VALS,Juan Canaro,Juan Canaro
1953-05-28,Osvaldo PUGLIESE,Caminito soleado,Alberto Moran y Juan Carlos Cobos,TANGO,Carlos Gardel,Alfredo Le Pera
1953-05-28,Osvaldo PUGLIESE,Chiqué, ,TANGO,Ricardo Luis Brignolo,Ricardo Brignolo
1953-07-14,Osvaldo PUGLIESE,Milonguera,Juan Carlos Cobos,TANGO,José María Aguilar,José María Aguilar
1953-07-14,Osvaldo PUGLIESE,San José de Flores,Alberto Moran,TANGO,Armando Acquarone,Enrique Gaudino
1953-08-06,Osvaldo PUGLIESE,Desvelo (De flor en flor),Alberto Moran,TANGO,Eduardo Bonessi,Enrique Cadícamo
1953-08-06,Osvaldo PUGLIESE,Olvidao,Juan Carlos Cobos,TANGO,Guillermo Barbieri,Enrique Cadícamo
1953-10-06,Osvaldo PUGLIESE,La última copa,Alberto Moran,TANGO,Francisco Canaro,Juan Andrés Caruso
1953-10-06,Osvaldo PUGLIESE,Seguime si podés, ,TANGO,Alejandro Scarpino y Juan Caldarella,Antonio Anselmi
1953-11-25,Osvaldo PUGLIESE,Es preciso que te vayas,Juan Carlos Cobos,TANGO,Juan Carlos Cobián,Celedonio Flores
1953-11-25,Osvaldo PUGLIESE,La rayuela, ,TANGO,Julio De Caro, 
1954-01-05,Osvaldo PUGLIESE,Picaneao,Juan Carlos Cobos,TANGO,Héctor Baldi,Enrique Cadícamo
1954-01-05,Osvaldo PUGLIESE,Porque no te tengo más,Alberto Moran,TANGO,Oscar Herrero  (Oscar Luis Herrero),Marvil
1954-03-17,Osvaldo PUGLIESE,La mentirosa,Alberto Moran,TANGO,Anselmo Aieta,Francisco García Jiménez
1954-03-17,Osvaldo PUGLIESE,Mi lamento, ,TANGO,Julio Carrasco, 
1954-03-17,Osvaldo PUGLIESE,No es más que yo,Juan Carlos Cobos,TANGO,Luis Mandarino,Enrique Dizeo
1954-03-17,Osvaldo PUGLIESE,No quiero perderte,Alberto Moran,TANGO,Enrique Camerano,Alberto Morán
1954-05-13,Osvaldo PUGLIESE,9 de Julio, ,TANGO,José Luis Padula,Lito Bayardo
1954-05-13,Osvaldo PUGLIESE,Te aconsejo que me olvides,Juan Carlos Cobos,TANGO,Pedro Maffia,Jorge Curi
1954-07-14,Osvaldo PUGLIESE,A la luz del candil,Miguel Montero,TANGO,Carlos Vicente Geroni Flores,Julio Navarrine
1954-07-14,Osvaldo PUGLIESE,La guitarrita, ,TANGO,Eduardo Arolas,Gabriel Clausi
1954-10-29,Osvaldo PUGLIESE,Canzoneta,Jorge Maciel,TANGO,Erma Suárez,Enrique Lary
1954-10-29,Osvaldo PUGLIESE,Por una muñeca,Miguel Montero,TANGO,Emilio Balcarce,Manuel Barros
1954-12-13,Osvaldo PUGLIESE,Mi fuelle rezonga, ,TANGO,Pedro Toscano, 
